Mainnet

Contract             Proxy                                      Implementation                             Version CELO      cUSD      cEUR
Accounts             0x7d21685C17607338b313a7174bAb6620baD0aaB7 0xccF3e2a7c06A515E36F547c6eB563dc8E00d3c08 1.1.2.0 1.000e+18 0         0
Attestations         0xdC553892cdeeeD9f575aa0FBA099e5847fd88D20 0x936d74304a17440488e02197285a2EA5f6Dd40A8 1.1.1.1 0         4.499e+22 0
BlockchainParameters 0x6E10a8864C65434A721d82e424d727326F9d5Bfa 0xDEfbc89482cd36B98d1b506Cc56Dd2AF74217955 1.2.0.0 0         0         0
DoubleSigningSlasher 0x50C100baCDe7E2b546371EB0Be1eACcf0A6772ec 0x4Bb82B5862Beb483Fdb762EC4A6cB60953568A12 1.1.1.0 0         0         0
DowntimeSlasher      0x71CAc3B31c138F3327C6cA14f9a1c8d752463fDd 0x9ebB6A46149a43C9D1B12EfdC068b969eCA7246F 2.0.0.0 0         0         0
Election             0x8D6677192144292870907E3Fa8A5527fE55A7ff6 0x31EFa3ea696F91E751ec5fA6c93B876E7270D77B 1.1.2.0 0         0         0
EpochRewards         0x07F007d389883622Ef8D4d347b3f78007f28d8b7 0x563BA8Ed56bd32a964831aB6AfF1E53238177eDA 1.1.1.0 0         0         0
Escrow               0xf4Fa51472Ca8d72AF678975D9F8795A504E7ada5 0x7A097d13F2B9f4E32effFBf2a5EA756dAb4420C1 1.1.1.1 1.638e+19 4.059e+22 4.400e+19
Exchange             0x67316300f17f063085Ca8bCa4bd3f7a5a3C66275 0xEDF3F7e01037e4583de2659C5e243621Ea2501A4 1.1.1.0 0         0         0
ExchangeEUR          0xE383394B913d7302c49F794C7d3243c429d53D1d 0x622833AB6E9501C9072d2c706c60AaB5Ff0234d9 1.1.0.0 0         0         0
FeeCurrencyWhitelist 0xBB024E9cdCB2f9E34d893630D19611B8A5381b3c 0xc301efebAe9c517eA81f87d2CF2Ff0A87caaBc83 NONE    0         0         0
Freezer              0x47a472F45057A9d79d62C6427367016409f4fF5A 0xa79cDb272799175A118A4Ce49ceCBF3eC86649e6 NONE    0         0         0
GasPriceMinimum      0xDfca3a8d7699D8bAfe656823AD60C17cb8270ECC 0x7C4194dF1Dbdb5ca737B7d457bB00176f8A52361 1.1.1.0 0         0         0
GoldToken            0x471EcE3750Da237f93B8E339c536989b8978a438 0x4DdeB8F7041aB3260c6ec5Afb6FEab0650F4ABB4 1.1.1.1 3.118e+20 1.937e+19 0
Governance           0xD533Ca259b330c7A88f74E000a3FaEa2d63B7972 0x074a4810015d67bAFac5fE522c70761f343db55E 1.2.1.0 7.999e+24 1.178e+20 2.000e+24
GrandaMento          0x03f6842B82DD2C9276931A17dd23D73C16454a49 0x5B2C9E7932B08D8F2Ce70ef9E5c98528256f9aB4 1.1.0.0 0         0         0
LockedGold           0x6cC083Aed9e3ebe302A6336dBC7c921C9f03349E 0xc683d91656ED9024ADDD7a40A181398E0258283F 1.1.1.1 3.209e+26 0         0
Random               0x22a4aAF42A50bFA7238182460E32f15859c93dfe 0xE43ea9C641a2af9959CaEEe54aDB089F65457028 1.1.1.0 0         0         0
Registry             0x000000000000000000000000000000000000ce10 0x203fdf86A00999107Df531fa00b4bA81d674cb66 NONE    0         0         0
